olid,lt,lg,c,rg,rt
1,DD-0900,RB-3500,JN-1200,DF-0900,SG-1000
2,BW-1400,BH-0200,CC-3800,AR-0300,TC-1500
3,TB-1800,BM-1900,QN-0100,BS-3700,ZW-0200
4,RO-0100,JP-4500,DW-4200,EL-0300,SZ-0100
5,TT-1200,JW-1800,BM-2700,JM-1800,JR-3400
6,FA-0100,LA-0300,MS-4600,SP-0200,EW-1100
7,MW-0200,RV-0200,FW-0800,MR-0900,ED-0600
8,JF-0100,KJ-0300,KM-0700,RT-0500,RY-0100
9,JT-0200,DS-5200,TG-1900,WS-0400,VR-0300
10,TG-1000,SM-2100,JS-0600,LM-1700,AM-1700
11,RW-1200,MD-0500,TR-1000,KD-1300,TW-0100
12,WJ-0400,PK-0100,CG-2100,FW-0700,TW-1200
13,TS-3200,CL-1100,MB-2400,DD-1600,KS-2400
14,BB-2900,TP-1100,OK-0200,CV-0400,JW-3900
15,BA-1100,DF-1100,DW-4700,ML-0300,GW-1300
16,PP-0600,RM-2200,JC-2800,FM-0300,JW-6700
17,RR-0800,TS-1200,MC-2500,JH-2300,AG-0700
18,WR-0600,WW-0500,JF-2400,CN-0100,KT-1000
19,LS-0600,MJ-2600,CD-1600,LH-1700,AC-1600
20,LB-1600,GP-0200,DZ-0300,RS-3200,LP-0500
21,MS-4900,SW-1900,BR-0600,MC-2200,LK-0300
22,BC-1800,RR-1200,RF-0800,KG-0600,VP-0100
23,WG-0100,AF-0100,DD-0700,RT-2100,MS-2800
24,JO-0500,EM-1900,JM-5200,HS-0300,MF-1100
25,CS-0100,KS-1200,MF-0500,JL-1000,JJ-0900
26,CJ-2200,MC-0300,FG-0100,JN-1000,CT-0700
27,JF-1500,RB-4000,JO-0600,JN-0200,RH-1900
28,BH-1600,BM-0400,KL-1200,BO-0300,FM-0400
29,OP-0100,TN-0700,AM-1300,AT-0800,RT-1900
30,TJ-2800,MS-0300,TN-0100,DN-0300,ML-1200
31,JO-0500,EM-1900,JM-5200,MF-1100,HS-0300
32,RJ-2200,SR-0400,RB-2800,MG-0900,WA-0300
33,CS-0100,KS-1200,MF-0500,TJ-2100,JJ-0900
34,TS-3200,CL-0100,MB-2400,DD-1600,KS-2400
35,JT-0200,JB-3700,TG-1900,WS-0400,VR-0300
36,MJ-2600,CD-1600,ND-0200,AC-1600,YS-0100
37,BA-1100,DF-1100,DW-4700,SI-0200,GW-1300
38,RO-0100,JB-7600,DW-4200,EL-0300,SZ-0100
39,RR-0800,JA-2800,MC-2500,JH-2300,AG-0700
40,MW-0200,RV-0200,FW-0800,MR-0900,MT-0200
41,TB-1800,BM-1900,JW-0100,BS-3700,ZW-0200
42,RJ-2200,MO-0100,RB-2800,MG-0900,WA-0300
43,BA-1100,JA-1900,DW-4700,SI-0200,GW-1300
44,MJ-2600,MG-2000,LH-1700,AC-1600,CD-1600
45,MW-0200,RV-0200,MF-0600,MR-0900,MT-0200
46,RJ-2200,MO-0100,BG-2500,MG-0900,WA-0300
47,JH-3500,TP-1100,CW-2000,CV-0400,JW-3900
48,RR-0800,MC-2500,EB-0900,JH-2300,AG-0700
49,BS-2600,MD-0500,TR-1000,KD-1300,TW-0100
50,TB-1800,BM-1900,JS-4200,BS-3700,ZW-0200
51,WG-0100,AF-0100,DD-0700,RT-2100,SP-1600
52,LS-0600,MJ-2600,MG-2000,LH-1700,AC-1600
53,BW-1400,CB-0500,CC-3800,TC-1500,MT-0950
54,BB-2900,TP-1100,CW-2000,CV-0400,JW-3900
55,JM-1300,BM-0400,KL-1200,BO-0300,FM-0400
56,BA-1100,JA-1900,DW-4700,GW-1300,ML-0300
57,EM-1900,JM-5200,MF-1100,HS-0300,OB-0100
58,JF-1500,RB-4000,JO-0600,JN-0200,MS-3800
59,CC-2700,RV-0200,FW-0800,MR-0900,MT-0200
60,WG-0100,AF-0100,DD-0700,RT-2100,LT-0200
61,WJ-0400,PK-0100,CG-2100,FW-0700,CM-1900
62,BW-1400,CB-0500,CC-3800,TC-1500,ES-0100
63,JO-0500,EM-1900,MF-1100,KV-0300,HS-0300
64,KS-1200,MF-0500,JL-1000,JJ-0900,CS-0100
65,TJ-2800,LF-0800,TN-0100,DN-0300,ML-1200
66,JJ-0400,MO-0100,BG-2500,MG-0900,WA-0300
67,LS-0600,CD-1600,MG-2000,LH-1700,AC-1600
68,BA-1100,JA-1900,DW-4700,SI-0200,ML-0300
69,CS-0100,AH-2500,MF-0500,JL-1000,JJ-0900
70,OP-0100,TN-0700,SE-0500,AM-1300,RT-1900
71,BB-2900,TP-1100,OK-0200,CW-2000,JW-3900
72,RW-1200,JB-4000,TR-1000,KD-1300,TW-0100
73,MC-0300,BS-4200,FG-0100,JN-1000,CT-0700
74,BW-1400,CC-3800,TM-1500,TC-1500,ES-0100
75,TB-1800,BM-1900,JS-4200,BS-3700,TF-1100
76,SM-1500,MC-2500,EB-0900,JH-2300,AG-0700
77,JT-0200,JB-3700,DW-4000,WS-0400,VR-0300
78,BS-2100,SW-1900,BR-0600,MC-2200,LK-0300
79,JJ-0700,MC-0300,FG-0100,JN-1000,CT-0700
80,JJ-0400,MO-0100,RB-2800,MG-0900,WA-0300
81,LS-0600,MJ-2600,MG-2000,CD-1600,AC-1600
82,LB-1600,MR-1800,DZ-0300,RS-3200,LP-0500
83,WG-0100,AF-0100,RT-2100,LT-0200,MS-0400
84,MW-3000,RB-3500,JN-1200,DF-0900,SG-1000
85,JO-0500,EM-1900,JM-5200,MF-1100,SF-0200
86,SM-1500,TS-1200,MC-2500,JH-2300,BB-3100
87,LS-0600,MJ-2600,CD-1600,ND-0200,AC-1600
88,BH-0200,CC-3800,TM-1500,TC-1500,ES-0100
89,RO-0100,SZ-0100,DW-4200,EL-0300,JB-6600
90,WG-0100,AF-0100,RD-2000,RT-2100,MS-2800
91,FA-0100,LA-0300,BF-1200,SP-0200,EW-1100
92,BA-1100,DW-4700,SI-0200,AK-0700,GW-1300
93,RO-0100,SZ-0100,SO-0200,EL-0300,JB-6600
94,LB-1600,GP-0200,DZ-0300,JW-2900,LP-0500
95,BA-1100,JA-1900,DW-4700,SI-0200,AK-0700
96,BC-1800,RR-1200,RF-0800,DG-2200,VP-0100
97,BA-1100,AK-0700,DW-4700,SI-0200,GR-0100
98,WS-0400,JB-3700,TG-1900,DW-4000,VR-0300
99,MS-3800,RB-4000,JO-0600,JN-0200,RH-1900
100,LS-0600,MJ-2600,CD-1600,AC-1600,YS-0100
101,JO-0500,EM-1900,JM-5200,MF-1100,JH-5700
102,RH-1900,RB-4000,JO-0600,JN-0200,MS-3800
103,CJ-2200,JD-1800,FG-0100,JN-1000,CT-0700
104,BC-1800,RR-1200,RF-0800,KJ-0200,VP-0100
105,JJ-0400,SR-0400,RB-2800,MG-0900,WA-0300
106,SM-1500,TS-1200,MC-2500,JH-2300,RR-0800
107,LB-1600,JW-2900,DZ-0300,RS-3200,LP-0500
108,GH-1000,RM-2200,JC-2800,FM-0300,JW-6700
109,MW-3000,RB-3500,JN-1200,TH-2500,SG-1000
110,BW-1400,CC-3800,EP-0500,TC-1500,ES-0100
111,BC-1800,KJ-0200,RF-0800,KG-0600,VP-0100
112,CS-0100,MM-4900,MF-0500,JL-1000,JJ-0900
113,BB-2900,RT-1700,OK-0200,CV-0400,JW-3900
114,JO-0500,EM-1900,MF-1100,KV-0300,SW-1300
115,JF-1500,RB-4000,BC-2100,CH-4700,JJ-1900
116,RW-1200,MO-0100,RB-2800,MG-0900,WA-0300
117,GW-1300,MC-2500,DW-4700,JA-1900,GR-0100
118,RO-0100,RV-0200,DW-4200,TJ-2100,RC-1000
119,WJ-0400,SH-1500,RT-1100,CG-2100,TW-1200
120,KW-0100,RM-2200,TW-1000,CC-3700,JW-6700
121,FA-0100,LA-0300,MS-4600,KG-0200,SP-0200
122,JB-0400,SM-1500,EB-0900,BS-3700,AG-0700
123,CC-2700,MW-0200,MF-0600,MR-0900,MT-0200
124,TB-1800,BM-1900,JS-4200,ZW-0200,MW-2400
125,WG-0100,AF-0100,JH-2300,RT-2100,MS-2800
126,JT-0200,MS-3600,BW-0600,WS-0400,VR-0300
127,BB-0200,CL-0100,MB-2400,DD-1600,CL-1100
128,TS-3200,JN-1000,JM-5200,KD-1300,CT-0700
129,TT-1200,JW-1800,HF-0300,JM-1800,JR-3400
130,DM-1900,RR-1200,KJ-0200,DG-2200,VP-0100
131,CS-0100,DS-5200,CR-0400,DB-3700,JJ-0900
132,BW-1400,BH-0200,TM-1500,KF-0300,TC-1500
133,MS-3800,MD-0500,TR-1000,TP-1100,TW-0100
134,TT-0600,LF-0800,TN-0100,DN-0300,DD-1100
135,BW-1400,BH-0200,TM-1500,TC-1500,ES-0100
136,JT-0200,MS-3600,CW-2000,WS-0400,VR-0300
137,SF-0200,MD-0500,TR-1000,TP-1100,TW-0100
138,ML-2000,MC-2500,DW-4700,JA-1900,GR-0100
139,WJ-0400,SH-1500,RT-1100,CG-2100,CM-1900
140,LS-0600,PK-0100,MG-2000,LD-0200,AC-1600
141,TT-0600,LF-0800,TN-0100,DN-0300,ML-1200
142,CS-0100,DS-5200,CR-0400,MC-0300,JJ-0900
143,KF-0100,RB-4000,BC-2100,CH-4700,MS-5600
144,JO-0500,EM-1900,MF-1100,BA-0600,SW-1300
145,AK-0800,BM-1900,JS-4200,ZW-0200,MW-2400
146,KW-0100,RM-2200,JC-2800,CC-3700,JW-6700
147,ML-2000,MC-2500,GR-0500,JA-1900,GR-0100
148,BS-2100,SW-1900,AT-1200,MC-2200,LK-0300
149,TT-1200,DB-5400,HF-0300,JM-1800,JR-3400
150,BH-1600,ZP-0200,BM-0400,BO-0300,FM-0400
151,RO-0100,RV-0200,DW-4200,JM-3400,RC-1000
152,BS-2100,SW-1900,AT-1200,FM-0300,LK-0300
153,TS-3200,JJ-0700,JN-1000,KD-1300,CT-0700
154,DD-0900,RB-3500,BL-1500,DF-0900,SG-1000
155,JO-0500,KV-0300,MF-1100,BA-0600,SW-1300
156,BB-0200,EL-0300,MB-2400,DD-1600,CL-1100
157,JB-0400,TS-1200,EB-0900,BS-3700,AG-0700
158,ML-2000,DW-4700,MC-2500,JA-1900,GR-0100
159,SF-0200,MD-0500,TR-1000,TP-1100,HS-0300
160,TF-1100,BM-1900,JS-4200,ZW-0200,MW-2400
161,JT-0200,DW-4000,CW-2000,WS-0400,MS-3600
162,JB-0400,TS-1200,EB-0900,BS-3700,MJ-2600
163,TG-1000,SM-2100,JS-0600,LM-1700,RD-1000
164,WR-0600,DT-0300,JF-2400,CN-0100,KT-1000
165,OP-0100,TN-0700,AM-1300,AT-0800,RJ-2200
166,TT-0600,LF-0800,TN-0100,SH-0700,ML-1200
167,CS-0100,DS-5200,CR-0400,BC-1800,JJ-0900
168,JO-0500,EM-1900,MF-1100,BA-0600,KV-0300
169,TS-3200,JN-1000,JM-5200,LJ-1600,CT-0700
170,JB-0400,MJ-2600,EB-0900,BS-3700,AG-0700
171,JF-1500,RB-4000,BC-2100,CH-4700,JC-0800
172,DT-0300,WW-0500,JF-2400,CN-0100,KT-1000
173,MS-5600,RB-4000,BC-2100,CH-4700,JC-0800
174,JO-0500,EM-1900,MF-1100,SW-1300,KV-0300
175,OR-0100,AF-0100,JH-2300,RT-2100,MS-2800
176,JF-0100,KJ-0300,KM-0700,JM-0100,RY-0100
177,BS-4000,MW-0200,MF-0600,MR-0900,MT-0200
178,JJ-1900,RB-4000,BC-2100,CH-4700,JO-0600
179,TS-3200,JN-1000,JM-5200,LJ-1600,MT-2500
180,RW-1200,SR-0400,RB-2800,MG-0900,WA-0300
181,TT-0600,SH-0700,TN-0100,DN-0300,ML-1200
182,TG-1000,LM-1700,JS-0600,RD-1000,AM-1700
183,MS-4900,SW-1900,AT-1200,FM-0300,LK-0300
184,OP-0100,FG-0100,AM-1300,AT-0800,RT-1900
185,EL-0300,CC-3800,MB-2400,DD-1600,CL-1100
186,SF-0200,MD-0500,HI-0100,TP-1100,TW-0100
187,JF-1500,RB-4000,BC-2100,CH-4700,JO-0600
188,BW-1400,BH-0200,TM-1500,KF-0300,ES-0100
189,JT-0200,BW-0600,CW-2000,WS-0400,MS-3600
190,WG-0100,AF-0100,JH-2300,OR-0100,MS-2800
191,JM-1300,ZP-0200,BM-0400,BO-0300,FM-0400
192,SF-0200,HI-0100,TR-1000,TP-1100,TW-0100
193,TS-3200,JN-1000,JM-5200,JJ-0700,CT-0700
194,EL-0300,CL-0100,MB-2400,CW-3500,CL-1100
195,JF-1500,RB-4000,BC-2100,JO-0600,JJ-1900
196,LS-0600,CD-1600,MG-2000,LD-0200,AC-1600
197,TG-1000,SM-2100,JS-0600,RD-1000,AM-1700
198,RV-0200,SO-0200,DW-4200,BB-1400,RC-1000
199,EL-0300,CL-0100,MB-2400,DD-1600,CL-1100
200,BW-1400,RG-0500,TM-1500,KF-0300,TC-1500
201,BH-1600,BM-0400,BO-0300,FM-0400,GD-0200
202,BH-1600,BM-0400,GD-0200,BO-0300,FM-0400
203,BW-1400,RG-0500,TM-1500,KF-0300,ES-0100
204,VP-0100,RR-1200,KJ-0200,DG-2200,EE-0300
205,FA-0100,LA-0300,MS-4600,KG-0200,CD-1900
206,BS-2100,SW-1900,AT-1200,FM-0300,DA-1800
207,BB-0200,CC-3800,MB-2400,EL-0300,CL-1100
208,RO-0100,SO-0200,DW-4200,BB-1400,RC-1000
209,WG-0100,KV-0500,JH-2300,OR-0100,MS-2800
210,BW-1400,TC-1500,RG-0500,KF-0300,MT-0950
211,LS-0600,CD-1600,JS-6100,LD-0200,AC-1600
212,RS-0500,JW-1800,JP-4500,BW-1800,JR-3400
213,LP-0500,RS-0800,CB-1800,JW-2900,MR-1800
214,DD-0900,DF-0900,JN-1200,RS-3200,SG-1000
215,JJ-1900,RB-4000,TT-0600,MS-5600,MW-2600
216,JF-0100,JM-0100,KM-0700,RT-0500,KM-1200
217,TS-3200,JJ-0700,JM-5200,KD-1300,CT-0700
218,JO-0500,CR-0100,MF-1100,BA-0600,EM-1900
219,BR-0700,RT-1700,OK-0200,CV-0400,JW-3900
220,DM-1900,BH-0200,CR-0400,TF-0800,VP-0100
221,WR-0600,BW-0600,CW-2000,WS-0400,JT-0200
222,RV-0200,BS-4000,DW-4200,SO-0200,RT-1900
223,OP-0100,TN-0700,AM-1300,AT-0800,JS-5500
224,ES-0100,BH-0300,TN-0100,DN-0300,ML-1200
225,BW-1400,TC-1500,TM-1500,RG-0500,TW-1200
226,CC-2700,MW-0200,FW-0800,MR-0900,MT-0200
227,ZW-0200,BM-1900,JW-0100,CN-0100,MW-2400
228,TG-1000,RD-0800,JS-0600,RD-1000,AM-1700
229,MD-0500,JN-0200,TR-1000,TP-1100,TW-0100
230,JB-0400,TS-1200,DR-0300,RB-3500,KB-1200
231,BS-2100,FM-0300,BR-0600,MS-4900,LK-0300
232,FW-0900,SH-1500,RT-1100,CG-2100,JW-6700
233,KT-1000,KJ-0200,JF-2400,LB-0300,SF-0200
234,RO-0100,KJ-0300,JC-2800,TW-1000,CG-2200
235,BH-1600,ZP-0200,GD-0200,BO-0300,FM-0400
236,CS-0100,DL-2200,LM-1700,BS-3700,JJ-0900
237,LS-0600,PK-0100,MG-2000,CD-1600,LD-0200
238,CP-1700,DG-2200,SM-2100,FW-0600,JH-3500
239,FA-0100,LA-0300,AG-1900,KG-0200,SP-0200
240,ML-2000,JA-1900,MC-2500,DW-4700,KJ-1000
241,RO-0100,KJ-0300,JC-2800,CC-3700,KW-0100
242,RV-0200,BS-4000,SO-0200,PZ-0200,RC-1000
243,ML-2000,MC-2500,DW-4700,JA-1900,KJ-1000
244,DM-1900,BH-0200,CR-0400,MK-0400,VP-0100
245,BS-2100,MS-4900,BR-0600,FM-0300,LK-0300
246,WG-0100,AF-0100,JH-2300,KS-0900,MS-2800
247,JB-0400,TS-1200,DR-0300,RB-3500,SM-1500
248,CC-2700,MW-0200,FW-0800,MR-0900,ED-0600
249,LK-0100,CL-0100,MB-2400,DD-1600,CL-1100
250,FW-0900,SH-1500,RT-1100,CG-2100,WJ-0400
251,FA-0100,ML-0900,AG-1900,KG-0200,SP-0200
252,BW-1400,TC-1500,TM-1500,KF-0300,TW-1200
253,RO-0100,KJ-0300,JC-2800,CC-3700,CG-2200
254,RW-1200,MO-0100,RB-2800,SR-0400,WA-0300
255,CC-2700,MW-0200,MF-0600,MR-0900,ED-0600
256,RV-0200,BS-4000,SO-0200,PZ-0200,RT-1900
257,ML-2000,MC-2500,GR-0500,AK-0700,KJ-1000
258,DM-1900,BH-0200,JB-1000,TF-0800,VP-0100
259,FA-0100,KG-0200,AG-1900,SP-0200,LA-0300
260,GW-1300,TN-0700,AM-1300,AT-0800,JS-5500
261,WJ-0400,SH-1500,RT-1100,CG-2100,FW-0900
262,BB-2900,BH-0300,TN-0100,DN-0300,ES-0100
263,JO-0500,EM-1900,MF-1100,BA-0600,EB-1500
264,BS-2100,MS-4900,BR-0600,FM-0300,LW-0100
265,FA-0100,KG-0200,ML-0900,SP-0200,LA-0300
266,TG-1000,WJ-0100,JS-0600,RD-1000,AM-1700
267,LJ-1400,MO-0100,RB-2800,SR-0400,WA-0300
268,ML-2000,MC-2500,GR-0500,DW-4700,KJ-1000
269,MS-3800,JN-0200,TR-1000,TP-1100,TW-0100
270,DD-0900,EH-0300,JN-1200,RS-3200,SG-1000
271,FA-0100,LA-0300,ML-0900,SP-0200,JC-3600
272,TS-3200,MT-2500,JM-5200,KD-1300,CT-0700
273,CP-1700,DG-2200,SM-2100,RS-0500,JH-3500
274,JO-0500,EM-1900,CR-0100,BA-0600,EB-1500
275,ML-2000,MC-2500,DW-4700,SN-0200,KJ-1000
276,LP-0500,RS-0800,CB-1800,DZ-0300,MR-1800
277,RV-0200,BS-4000,MF-1500,SO-0200,RT-1900
278,CS-0100,LM-1700,WB-1100,BS-3700,JJ-0900
279,WJ-0400,CG-2100,RT-1100,FW-0700,FW-0900
280,LS-0600,PK-0100,MG-2000,RR-1200,LD-0200
281,JC-3600,ML-0900,AG-1900,SP-0200,FA-0100
282,MP-0800,BM-1900,JW-0100,CN-0100,ZW-0200
283,CP-1700,DG-2200,SM-2100,RS-0500,RY-0100
284,MC-2300,MG-0200,OK-0200,CV-0400,JW-3900
285,CS-0100,DL-2200,LM-1700,WB-1100,JJ-0900
286,MF-0600,MW-0200,FW-0800,MR-0900,ED-0600
287,JJ-1900,RB-4000,TT-0600,MS-5600,MP-2200
288,LW-0100,MS-4900,BR-0600,FM-0300,LK-0300
289,WG-0100,AF-0100,CO-0600,KS-0900,MS-2800
290,LJ-1400,MO-0100,RB-2800,MG-0900,WA-0300
291,FA-0100,JM-3400,AG-1900,SP-0200,JC-3600
292,BS-2100,MC-2200,BR-0600,FM-0300,LK-0300
293,ES-0100,SH-0700,BH-0300,DN-0300,ML-1200
294,BW-1400,TC-1500,TM-1500,KF-0300,MT-0950
295,AS-3700,DL-2200,LM-1700,WB-1100,JJ-0900
296,TG-1000,RD-0800,JS-0600,RD-1000,WJ-0100
297,MC-2300,MG-0200,OK-0200,KD-1200,JW-3900
298,FA-0100,JM-3400,TW-0300,AG-1900,SP-0200
299,WJ-0400,CG-2100,RT-1100,FW-0700,JW-6700
300,RO-0100,TW-1000,JC-2800,CC-3700,KW-0100
301,MP-0800,BM-1900,JW-0100,CN-0100,TF-1100
302,LS-0600,PK-0100,JS-6100,CD-1600,LD-0200
303,JB-0400,MJ-2600,DR-0300,RB-3500,SM-1500
304,EE-0300,BH-0200,JB-1000,TF-0800,VP-0100
305,CP-1700,DG-2200,SM-2100,FW-0600,CD-1900
306,BS-2100,FM-0300,BR-0600,MC-2200,LK-0300
307,KT-1000,KJ-0200,JF-2400,VR-0300,SF-0200
308,CP-1700,DG-2200,SM-2100,FW-0600,RY-0100
309,FA-0100,RT-1800,TW-0300,AG-1900,SP-0200
310,BM-1600,CL-0100,MB-2400,DD-1600,CL-1100
311,LS-0600,PK-0100,JS-6100,RR-1200,LD-0200
312,EE-0300,BH-0200,JB-1000,TF-0800,SW-1300
313,MC-2300,MG-0200,KD-1200,CV-0400,JW-3900
314,JO-0500,CR-0100,MF-1100,BA-0600,EB-1500
315,TS-3200,JN-1000,JM-5200,KD-1300,MT-2500
316,MG-0200,KD-1200,OK-0200,CV-0400,JW-3900
317,LP-0500,RS-0800,JW-2900,TH-2400,MR-1800
318,KT-1000,KJ-0200,JF-2400,SF-0200,VR-0300
319,CS-0100,AS-3700,LM-1700,WB-1100,JJ-0900
320,LJ-1400,MO-0100,BG-2500,MG-0900,WA-0300
321,CP-1700,CS-3300,SM-2100,FW-0600,RY-0100
322,WG-0100,AF-0100,CO-0600,KV-0500,MS-2800
323,BM-1600,CL-0100,MB-2400,EL-0300,CL-1100
324,OP-0100,HI-0100,AM-1300,AT-0800,JS-5500
325,DM-1900,KG-0200,JB-1000,TF-0800,SW-1300
326,WJ-0400,CG-2100,RT-1100,FW-0700,CT-0700
327,LS-0600,RR-1200,JS-6100,CD-1600,LD-0200
328,MW-3000,EH-0300,JN-1200,RS-3200,SG-1000
329,JS-5500,HI-0100,AM-1300,FG-0100,AT-0800
330,JF-0100,DS-5200,KM-0700,RT-0500,KM-1200
331,MP-2200,RB-4000,TT-0600,MS-5600,MW-2600
332,SW-1300,KG-0200,JB-1000,TF-0800,VP-0100
333,JB-0400,EB-0900,DR-0300,RB-3500,MJ-2600
334,CP-1700,CS-3300,SM-2100,FW-0600,JH-3500
335,CS-0100,DL-2200,LM-1700,TJ-2100,JJ-0900
336,DD-0900,MW-3000,JN-1200,RS-3200,SG-1000
337,MF-0600,MW-0200,FW-0800,MR-0900,KB-0600
338,BH-1600,TA-0100,GD-0200,BO-0300,FM-0400
339,MD-0500,SM-2000,TR-1000,TP-1100,TW-0100
340,JM-1300,TA-0100,GD-0200,BO-0300,FM-0400
341,WJ-0400,CG-2100,RT-1100,JW-6700,CT-0700
342,CS-0100,KV-0300,LM-1700,TJ-2100,JJ-0900
343,ML-2000,MC-2500,DW-4700,JA-1900,AK-0700
344,LS-0600,TW-3800,JS-6100,CD-1600,RR-1200
345,FA-0100,RT-1800,TW-0300,AG-1900,JC-3600
346,MW-3000,EH-0300,JN-1200,KK-1300,SG-1000
347,BS-2100,FM-0300,AT-1200,MC-2200,LK-0300
348,CS-0100,DF-0900,LM-1700,RT-0500,JJ-0900
349,JF-0100,DS-5200,KM-0700,BS-2600,KM-1200
350,JJ-1900,RB-4000,TT-0600,MP-2500,MW-2600
351,TS-3200,JJ-0700,JM-5200,KD-1300,JG-3900
352,MP-0800,VM-0100,BM-1900,CN-0100,MW-2400
353,LJ-1400,ES-1300,MG-0900,MO-0100,WA-0300
354,TG-1000,RD-0800,JS-0600,SS-0800,RD-1000
355,BS-4000,MF-1500,JF-0200,SO-0200,RT-1900
356,FA-0100,LA-0300,ML-0900,AG-1900,RY-0100
357,JB-0400,EB-0900,DR-0300,RB-3500,SM-1500
358,LS-0600,CS-3300,PK-0100,LD-0200,AC-1600
359,BM-1600,CL-1100,MB-2400,DD-1600,MR-1800
360,DM-1900,KG-0200,JB-1000,SP-0200,VP-0100
361,CP-1700,MB-4200,SM-2100,ZW-0200,GR-0100
362,WS-0700,JN-0200,TR-1000,TP-1100,TW-0100
363,LP-0500,RS-0800,CB-1800,DD-1400,IA-0300
364,OP-0100,AM-1300,DW-4200,AT-0800,KT-1000
365,MS-2800,AF-0100,JH-2300,KS-0900,TF-1100
366,MG-0200,SE-0100,OK-0200,CV-0400,AG-0700
367,DD-0900,EH-0300,JN-1200,RS-3200,KK-1300
368,WG-0100,KJ-0200,JF-2400,LB-0300,VR-0300
369,BS-2100,FM-0300,MS-4900,MC-2200,LK-0300
370,BH-1600,ZP-0200,JH-2400,BO-0300,FM-0400
371,RO-0100,CC-3700,JW-0100,JW-2900,KW-0100
372,LJ-1400,ES-1300,RB-2800,MG-0900,WA-0300
373,ML-2000,MC-2500,DK-1000,JA-1900,AK-0700
374,KH-0700,DL-0500,JN-1200,RS-3200,KK-1300
375,MG-0200,SE-0100,OK-0200,CL-0100,AG-0700
376,JR-2900,RS-0800,WL-0100,DD-1400,CB-1800
377,LS-0600,CS-3300,PK-0100,CD-1600,AC-1600
378,CP-1700,TW-1000,SM-2100,ZW-0200,GR-0100
379,ML-2000,JA-1900,DK-1000,DW-4700,AK-0700
380,KH-0700,KK-1300,JN-1200,RS-3200,SG-1000
381,WJ-0400,SH-1500,RT-1100,CG-2100,MH-2900
382,LP-0500,RS-0800,WL-0100,DD-1400,CB-1800
383,JO-0500,EM-1900,MF-1100,BA-0600,OB-0300
384,BS-4000,SO-0200,JF-0200,PZ-0200,RT-1900
385,FA-0100,LA-0300,ML-0900,AG-1900,KV-0600
386,BS-2100,FM-0300,BR-0600,MC-2200,LW-0100
387,DM-1900,KG-0200,JB-1000,BH-0200,PB-0500
388,OR-0100,AF-0100,JH-2300,KS-0900,TF-1100
389,CS-0100,DD-1900,LM-1700,RT-0500,JJ-0900
390,ML-2000,JA-1900,DK-1000,RH-2400,TA-1000
391,TG-1000,RD-0800,JS-0600,SS-0800,AM-1700
392,ML-2000,DW-4700,DK-1000,JA-1900,TA-1000
393,WS-0700,JN-0200,SM-2000,TP-1100,TW-0100
394,DD-0900,KK-1300,JN-1200,RS-3200,SG-1000
395,BS-2100,FM-0300,BR-0600,BB-0200,LW-0100
396,TT-1200,JW-1800,HF-0300,BW-1800,JR-3400
397,AF-0100,KV-0500,JH-2300,KS-0900,OR-0100
398,MF-1600,RD-0800,JS-0600,SS-0800,AM-1700
399,WJ-0400,SH-1500,RT-1100,CG-2100,CT-0700
400,BW-1400,RG-0500,TM-1500,KF-0300,TW-1200
401,BS-4000,CB-1100,MF-1500,PZ-0200,RT-1900
402,DM-1900,KG-0200,JB-1000,PB-0500,SP-0200
403,RO-0100,KJ-0300,JW-0100,CC-3700,KW-0100
404,BS-2100,MS-4900,BR-0600,BB-0200,LW-0100
405,KH-0700,KK-1300,JN-1200,SG-1000,RS-3200
406,BB-2900,BH-0300,TN-0100,DN-0300,ML-1200
407,MF-1600,RD-0800,JS-0600,SS-0800,RD-1000
408,LP-0500,WL-0100,CB-1800,DD-1400,IA-0300
409,JG-2100,ED-0300,MF-1500,PZ-0200,RT-1900
410,AF-0100,KV-0500,JH-2300,KS-0900,TF-1100
411,DM-1900,KG-0200,CR-0400,PB-0500,SP-0200
412,DM-1900,KG-0200,CR-0400,PB-0500,CV-0100
413,BS-2100,BB-0200,BR-0600,MC-2200,LW-0100
414,KW-0100,KJ-0300,JW-0100,CC-3700,CG-2200
415,MP-2200,RB-4000,TT-0600,MP-2500,MW-2600
416,JG-2100,SO-0200,JF-0200,PZ-0200,RT-1900
417,KS-0500,RG-0500,TM-1500,KF-0300,TW-1200
418,BS-2100,BB-0200,BR-0600,MC-2200,LK-0300
419,CS-0100,DD-1900,LF-0800,RT-0500,JJ-0900
420,JJ-1900,RB-4000,TT-0600,MP-2500,MP-2200
421,WG-0100,MH-3000,JF-2400,LB-0300,VR-0300
422,TT-1200,AH-3100,HF-0300,BW-1800,JR-3400
423,MP-0800,JN-1000,BM-1900,CN-0100,MW-2400
424,MS-2800,AF-0100,JH-2300,KS-0900,OR-0100
425,DM-1900,KG-0200,JB-1000,PB-0500,CV-0100
426,WS-0700,SM-2000,TR-1000,GJ-0500,TW-0100
427,FA-0100,LA-0300,ML-0900,AG-1900,TT-1600
428,DD-0900,EH-0300,JN-1200,KK-1300,SG-1000
429,RG-0500,KS-0500,TM-1500,KF-0300,TW-1200
430,JR-2900,WL-0100,CB-1800,DD-1400,IA-0300
431,JJ-1900,RB-4000,TT-0600,RT-1800,MW-2600
432,BS-4000,CB-1100,MF-1500,SO-0200,RT-1900
